type	name	reading	content
lecture	Programming Paradigms		
lab	lab 0 - Python install, I/O, Loops, Conditionals		
lecture	Python		
lecture	Functions		
lecture	Data Structures		
lab	lab 1 - Python Review		
lecture	Objects		
lecture	Classes + Instances		
lab	lab 2 - Calendar		
lecture	Encapsulation		
lecture	Encapsulation		
lecture	Encapsulation		
lab	lab 3 - Shields Up		
lecture	Git Basic		
lecture	Git Branching and Merging		
lecture	Git Workflows		
lab	lab 4 - Git		
lecture	Inheritance		
lecture	Inheritance		
lecture	Inheritance		
lab	lab 5 - Battlebots		
lecture	UML Modeling		
lecture	UML Modeling - Cancelled and combined due to illness		
lecture	UML Modeling		
lab	lab 6 - PlantUML		
lecture	Polymorphism		
lecture	Abstract Base Classes		
lecture	Midterm Review		
lab	Midterm exam		
lecture	Midterm Review		
lecture	Composition		
lecture	Aggregation and Association		
lab	Introduce Projects		
lecture	Creational Design Patterns		
lecture	Structural Design Patterns		
lecture	Behavioral Design Patterns		
lab	Project Checkin and Selection		
lecture	Design Principles (SOLID)		
lecture	Design Principles (SOLID)		
lecture	Design Principles (SOLID)		
lab	Project Checkin (Selections Due)		
lecture	Exceptions		
lecture	Unit Testing		
lecture	Serialization		
lab	lab 7 - Serialization		
lecture	Threads		
lecture	Multiprocessing and Locks		
lecture	C++		
lab	Project Checkin		
lecture	C++		
lecture	C++		
lecture	C++		
lab	lab 8 - C++ Intro		
lecture	Classes in C++		
lecture	Classes in C++		
lab	Project presentations		
			
